"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2021";"26000 - Ministério da Educação";"26452 - Universidade Federal de Catalão";"156679 - UNIVERSIDADE FEDERAL DE CATALAO";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16100211 - INSCR.EM CONCURSOS E PROC.SELETIVOS-PRINCIPAL";"67.850,00";"0,00";"0,00%";"0,00";
"2021";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"393001 - AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19100811 - MULTAS DECORRENTES DE SENTENCAS JUD.-PRINC.";"0,00";"2.096,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"158143 - IFB - REITORIA - BRASILIA-DF";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"131.957.310,00";"0,00";"0,00%";"0,00";
"2021";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"22.912.399,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26232 - Universidade Federal da Bahia";"153038 - UNIVERSIDADE FEDERAL DA BAHIA";"7 - Receitas Correntes - intra-orçamentárias";"76 - Receita de Serviços";"761 - Serviços Administrativos e Comerciais Gerais";"76100111 - SERV.ADMIN.E COMERCIAIS GERAIS-PRINC.-INTRA";"0,00";"868,00";"0,00%";"0,00";
"2021";"20000 - Presidência da República";"20101 - Presidência da República";"110005 - SECRETARIA DE ADMINISTRACAO-SET.ORC.E FIN./PR";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410221 - ROY.PETRO.PLAT-COM.ANTES 3/12/12-P.SAL-PRINC.";"458.969.368,00";"0,00";"0,00%";"0,00";
"2021";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"244001 - FUNDACAO ALEXANDRE DE GUSMAO";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"8.669.503,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26440 - Universidade Federal da Fronteira Sul";"158517 - UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229912 - OUTRAS RESTITUICOES-MULTAS E JUROS";"0,00";"493,96";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"154503 - FUNDACAO UNIVERSIDADE FEDERAL DO ABC";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219911 - OUTRAS INDENIZACOES-PRINCIPAL";"0,00";"31.758,04";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"158155 - INST.FED.DE EDUC.,CIENC.E TEC.DO RN";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"327.122.371,00";"0,00";"0,00%";"0,00";
