"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"04 - Administração";"846 - Outros encargos especiais";"1.314.809.449,81";"143.845.287,15";"124.483.939,68";"9.656.568,80";
"01/2023";"25 - Energia";"572 - Desenvolvimento tecnológico e engenharia";"8.012.361,65";"3.378.957,69";"2.832.423,91";"2.839.303,06";
"01/2023";"04 - Administração";"301 - Atenção básica";"0,00";"0,00";"0,00";"72.104.675,22";
"01/2023";"16 - Habitação";"482 - Habitação urbana";"0,00";"0,00";"0,00";"779,59";
"01/2023";"04 - Administração";"331 - Proteção e benefícios ao trabalhador";"396.152.781,49";"70.328.552,14";"3.750.420,63";"0,00";
"01/2023";"04 - Administração";"124 - Controle interno";"6.193.701,90";"335.326,85";"189.129,51";"5.077.755,59";
"01/2023";"04 - Administração";"122 - Administração geral";"9.942.549.056,96";"1.391.744.152,65";"359.873.672,46";"1.460.910.307,34";
"01/2023";"12 - Educação";"573 - Difusão do conhecimento científico e tecnológico";"2.962.334,13";"0,00";"0,00";"2.312.600,73";
"01/2023";"01 - Legislativa";"032 - Controle externo";"0,00";"0,00";"0,00";"35.400,09";
"01/2023";"14 - Direitos da cidadania";"422 - Direitos individuais, coletivos e difusos";"6.027.382,28";"490.705,18";"108.288,76";"8.669.720,41";
"01/2023";"05 - Defesa nacional";"152 - Defesa naval";"139.166.196,31";"52.950.250,47";"1.256.406,61";"133.210.150,62";
"01/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"95.417,06";
"01/2023";"10 - Saúde";"846 - Outros encargos especiais";"986.200.000,00";"77.715.528,45";"77.715.528,45";"9.803,70";
"01/2023";"22 - Indústria";"846 - Outros encargos especiais";"36.212.623,18";"7.866.312,51";"7.850.756,14";"32.079,39";
"01/2023";"10 - Saúde";"121 - Planejamento e orçamento";"100.000,00";"0,00";"0,00";"1.030.210,69";
"01/2023";"10 - Saúde";"131 - Comunicação social";"21.200.000,00";"0,00";"0,00";"23.692.096,86";
"01/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"95.499,82";"60.559,62";"60.559,62";"2.500.097,24";
"01/2023";"10 - Saúde";"125 - Normatização e fiscalização";"459.273,23";"21.421,04";"20.500,62";"775.123,07";
"01/2023";"12 - Educação";"368 - Educação básica";"341.177.586,07";"29.883.841,66";"11.427.835,21";"331.995.032,34";
"01/2023";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"160.400,00";
"01/2023";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"550.299,68";"30.911,21";"19.250,00";"14.698.604,57";
"01/2023";"10 - Saúde";"126 - Tecnologia da informação";"30.437.333,75";"874.712,33";"846.624,11";"18.421.909,10";
"01/2023";"10 - Saúde";"571 - Desenvolvimento científico";"13.344.298,95";"1.776.687,92";"595.275,93";"39.156.194,68";
"01/2023";"10 - Saúde";"305 - Vigilância epidemiológica";"264.201.177,52";"180.596.410,65";"180.172.442,10";"2.239.346.914,79";
"01/2023";"10 - Saúde";"511 - Saneamento básico rural";"5.394.577,68";"651.871,49";"161.990,24";"7.822.755,46";
"01/2023";"10 - Saúde";"423 - Assistência aos povos indígenas";"230.222.433,74";"161.354.132,36";"124.308.861,88";"50.496.880,75";
"01/2023";"10 - Saúde";"303 - Suporte profilático e terapêutico";"4.515.730.638,32";"359.931.164,01";"265.805.078,27";"645.573.646,36";
"01/2023";"26 - Transporte";"301 - Atenção básica";"0,00";"0,00";"0,00";"6.004.988,76";
"01/2023";"26 - Transporte";"846 - Outros encargos especiais";"117.685.606,48";"14.640.616,72";"14.637.303,20";"9.907,58";
"01/2023";"21 - Organização agrária";"127 - Ordenamento territorial";"6.297,50";"2.297,03";"1.804,48";"24.004.107,41";
"01/2023";"05 - Defesa nacional";"812 - Desporto comunitário";"0,00";"0,00";"0,00";"79.319,40";
"01/2023";"05 - Defesa nacional";"151 - Defesa aérea";"47.124.898,96";"7.609.493,19";"5.966.484,92";"200.907.734,53";
"01/2023";"05 - Defesa nacional";"482 - Habitação urbana";"231.000.338,11";"8.026.455,84";"8.015.721,20";"17.255.320,08";
"01/2023";"05 - Defesa nacional";"573 - Difusão do conhecimento científico e tecnológico";"0,00";"0,00";"0,00";"1.395,00";
"01/2023";"26 - Transporte";"331 - Proteção e benefícios ao trabalhador";"66.495.648,09";"6.013.865,52";"373.816,56";"0,00";
"01/2023";"05 - Defesa nacional";"333 - Empregabilidade";"0,00";"0,00";"0,00";"74.742,07";
"01/2023";"05 - Defesa nacional";"366 - Educação de jovens e adultos";"80.500,00";"26.761,13";"26.761,13";"10.831,11";
"01/2023";"26 - Transporte";"783 - Transporte ferroviário";"445.776,34";"63,84";"0,00";"3.123.892,51";
"01/2023";"22 - Indústria";"664 - Propriedade industrial";"120.329,20";"0,00";"0,00";"2.272.167,66";
"01/2023";"26 - Transporte";"121 - Planejamento e orçamento";"38.312.330,07";"0,00";"0,00";"23.960.580,81";
"01/2023";"26 - Transporte";"126 - Tecnologia da informação";"5.739.473,60";"71.059,30";"31.157,10";"15.861.347,92";
"01/2023";"05 - Defesa nacional";"121 - Planejamento e orçamento";"198.735,38";"19.932,97";"19.932,97";"824,73";
"01/2023";"05 - Defesa nacional";"811 - Desporto de rendimento";"2.579.800,00";"20.785,04";"20.785,04";"101.886,98";
"01/2023";"05 - Defesa nacional";"212 - Cooperação internacional";"2.964.213,76";"71.335,79";"71.335,79";"352.470,94";
