"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"2222 - SANEAMENTO BASICO";"21CI - APOIAR A IMPLEMENTACAO DE MELHORIAS SANITARIAS DOMICILIARES EM LOCALIDADES URBANAS DE MUNICIPIOS COM POPULACAO ATE 50.000 HABITANTES, DE FORMA A CONTRIBUIR PARA A PREVENCAO E CONTROLE DE DOENCAS E AGRAVOS";"0,00";"0,00";"0,00";
"01/2023";"2215 - POLITICA ECONOMICA E EQUILIBRIO FISCAL";"00M6 - CONCESSAO DE BOLSAS PARA PESQUISA ECONOMICA";"9.667.058,00";"0,00";"0,00";
"01/2023";"0909 - OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"00Q3 - ASSUNCAO E NOVACAO DE DIVIDAS DO FUNDO DE COMPENSACAO DAS VARIACOES SALARIAIS - FCVS";"74.500.000,00";"0,00";"0,00";
"01/2023";"5028 - INCLUSAO SOCIAL POR MEIO DO BOLSA FAMILIA E DA ARTICULACAO DE POLITICAS PUBLICAS";"00SI - AUXILIO EMERGENCIAL 2021 PARA O ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS (COVID-19)";"0,00";"0,00";"0,00";
"01/2023";"1031 - AGROPECUARIA SUSTENTAVEL";"210T - PROMOCAO DA EDUCACAO E CULTURA DO CAMPO";"0,00";"0,00";"0,00";
"01/2023";"3006 - TRANSPORTE TERRESTRE E TRANSITO";"11ZH - CONSTRUCAO DA FERROVIA NORTE-SUL - OUROVERDE DE GOIAS/GO - SAO SIMAO/GO - EF-151";"0,00";"0,00";"0,00";
"01/2023";"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"20U5 - ENSINO DE GRADUACAO E POS-GRADUACAO EM ESTATISTICAS E GEOCIENCIAS";"9.000,00";"0,00";"0,00";
"01/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"15AL - REFORMA DE UNIDADES DA ANM";"0,00";"0,00";"0,00";
"01/2023";"0902 - OPERACOES ESPECIAIS: FINANCIAMENTOS COM RETORNO";"0029 - FINANCIAMENTO AOS SETORES PRODUTIVOS DA REGIAO CENTRO-OESTE";"4.413.485.665,00";"396.273.591,25";"396.273.591,25";
"01/2023";"2027 - CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO";"20ZK - ADMINISTRACAO DOS INVESTIMENTOS, FINANCIAMENTOS E ATIVIDADES DO FUNDO SETORIAL DO AUDIOVISUAL (LEI N. 11.437, DE 2006)";"0,00";"0,00";"0,00";
"01/2023";"2220 - MORADIA DIGNA";"8873 - APOIO AO FORTALECIMENTO INSTITUCIONAL DOS AGENTES INTEGRANTES DO SISTEMA NACIONAL DE HABITACAO DE INTERESSE SOCIAL - SNHIS";"0,00";"0,00";"0,00";
"01/2023";"3004 - AVIACAO CIVIL";"210F - DESENVOLVIMENTO DA AVIACAO CIVIL (GESTAO)";"0,00";"0,00";"0,00";
"01/2023";"5026 - ESPORTE";"216T - APOIO A PROJETOS DE EXCELENCIA ESPORTIVA NAS FASES DE ALTO RENDIMENTO E TRANSICAO DE CARREIRA";"0,00";"0,00";"0,00";
"01/2023";"5035 - PROMOCAO DE CIDADANIA POR MEIO DO AUXILIO BRASIL E DA ARTICULACAO DE POLITICAS PUBLICAS";"21CP - OPERACIONALIZACAO DO AUXILIO EMERGENCIAL PARA ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS (COVID-19)";"799.925,54";"0,00";"0,00";
"01/2023";"5021 - GESTAO E ORGANIZACAO DO SUS";"6881 - MODERNIZACAO E DESENVOLVIMENTO DE SISTEMAS DE INFORMACAO DA FUNASA";"621.067,64";"0,00";"0,00";
"01/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"21E8 - PRESTACAO DE ENSINO ASSISTENCIAL DA AERONAUTICA";"131.371,39";"0,00";"0,00";
"01/2023";"5031 - PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219E - ACOES DE PROTECAO SOCIAL BASICA";"0,00";"0,00";"0,00";
"01/2023";"0033 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO";"21BH - CONTROLE DA ATUACAO ADMINISTRATIVA E FINANCEIRA DO PODER JUDICIARIO, DO CUMPRIMENTO DOS DEVERES FUNCIONAIS DOS JUIZES E GESTAO DE POLITICAS JUDICIARIAS";"0,00";"0,00";"0,00";
"01/2023";"2221 - RECURSOS HIDRICOS";"4926 - REGULACAO E FISCALIZACAO DOS USOS DE RECURSOS HIDRICOS, DOS SERVICOS DE IRRIGACAO E ADUCAO DE AGUA BRUTA E DA SEGURANCA DE BARRAGENS";"473.301,66";"3.685,51";"3.685,51";
"01/2023";"2207 - PROGRAMA ESPACIAL BRASILEIRO";"20VB - PESQUISA, DESENVOLVIMENTO TECNOLOGICO E FORMACAO DE CAPITAL HUMANO PARA O SETOR ESPACIAL";"0,00";"0,00";"0,00";
"01/2023";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0312 - SERVICOS PUBLICOS DE EDUCACAO DO DISTRITO FEDERAL";"650.634.967,97";"204.875.883,41";"204.875.883,41";
"01/2023";"5015 - JUSTICA";"2807 - PROMOCAO E DEFESA DA CONCORRENCIA";"3.893.490,30";"185.868,70";"94.287,28";
"01/2023";"2223 - A HORA DO TURISMO";"2C01 - PROMOCAO DE INVESTIMENTOS PRIVADOS, FINANCIAMENTO, PARCERIAS E CONCESSOES NO SETOR DE TURISMO";"0,00";"0,00";"0,00";
"01/2023";"2207 - PROGRAMA ESPACIAL BRASILEIRO";"21AG - DESENVOLVIMENTO DE MISSOES E APLICACOES ESPACIAIS";"0,00";"0,00";"0,00";
"01/2023";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO";"2000 - ADMINISTRACAO DA UNIDADE";"0,00";"0,00";"0,00";
"01/2023";"2221 - RECURSOS HIDRICOS";"21DG - RECUPERACAO HIDROAMBIENTAL NAS BACIAS HIDROGRAFICAS NA AREA DE ATUACAO DA CODEVASF";"0,00";"0,00";"0,00";
"01/2023";"0902 - OPERACOES ESPECIAIS: FINANCIAMENTOS COM RETORNO";"00JE - FINANCIAMENTO IMOBILIARIO PARA O PESSOAL DA AERONAUTICA";"0,00";"0,00";"0,00";
"01/2023";"3003 - PETROLEO, GAS, DERIVADOS E BIOCOMBUSTIVEIS";"21BC - ESTUDOS DA INDUSTRIA DE PETROLEO E GAS NATURAL";"1.052.946,31";"0,00";"0,00";
"01/2023";"2213 - MODERNIZACAO TRABALHISTA E TRABALHO DIGNO";"0581 - ABONO SALARIAL";"901.939,00";"901.939,00";"901.939,00";
"01/2023";"2213 - MODERNIZACAO TRABALHISTA E TRABALHO DIGNO";"4245 - CLASSIFICACAO BRASILEIRA DE OCUPACOES - CBO";"171.990,51";"0,00";"0,00";
"01/2023";"5028 - INCLUSAO SOCIAL POR MEIO DO BOLSA FAMILIA E DA ARTICULACAO DE POLITICAS PUBLICAS";"00S4 - AUXILIO EMERGENCIAL DE PROTECAO SOCIAL A PESSOAS EM SITUACAO DE VULNERABILIDADE, DEVIDO A PANDEMIA DA COVID-19";"0,00";"0,00";"0,00";
"01/2023";"5033 - SEGURANCA ALIMENTAR E NUTRICIONAL";"20GD - INCLUSAO PRODUTIVA RURAL";"0,00";"0,00";"0,00";
"01/2023";"5025 - CULTURA";"20ZK - ADMINISTRACAO DOS INVESTIMENTOS, FINANCIAMENTOS E ATIVIDADES DO FUNDO SETORIAL DO AUDIOVISUAL (LEI N. 11.437, DE 2006)";"0,00";"0,00";"0,00";
"01/2023";"2213 - MODERNIZACAO TRABALHISTA E TRABALHO DIGNO";"00UL - PAGAMENTO DE AUXILIO AOS MOTORISTAS DE TAXI (EMENDA CONSTITUCIONAL N. 123, DE 14 DE JULHO DE 2022)";"0,00";"0,00";"0,00";
"01/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"4907 - OUVIDORIA GERAL DO MINISTERIO DO DESENVOLVIMENTO, ASSISTENCIA SOCIAL, FAMILIA E COMBATE A FOME";"0,00";"0,00";"0,00";
"01/2023";"3006 - TRANSPORTE TERRESTRE E TRANSITO";"13YE - ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-104/408/PB-095 (CAMPINA GRANDE) - ENTRONCAMENTO BR-110/361 (PATOS) - NA BR-230/PB";"0,00";"0,00";"0,00";
"01/2023";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"00SE - TRANSFERENCIA TEMPORARIA A ESTADOS, DISTRITO FEDERAL E MUNICIPIOS NOS TERMOS DA LEI COMPLEMENTAR N. 176/2020";"4.000.000.000,00";"332.230.811,09";"332.230.811,09";
"01/2023";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"8305 - ATENCAO DE REFERENCIA E PESQUISA CLINICA";"0,00";"0,00";"0,00";
"01/2023";"5020 - DESENVOLVIMENTO CIENTIFICO, TECNOLOGICO E PRODUTIVO EM SAUDE";"15VW - CONSTRUCAO DA FABRICA DE PLATAFORMAS VEGETAIS DE PRODUCAO DE IMUNOBIOLOGICOS DA FIOCRUZ CEARA";"0,00";"0,00";"0,00";
"01/2023";"2221 - RECURSOS HIDRICOS";"15XT - IMPLANTACAO DE SISTEMAS ADUTORES PARA ABASTECIMENTO DE AGUA DO CANAL DO SERTAO ALAGOANO";"0,00";"0,00";"0,00";
"01/2023";"2217 - DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"4786 - CAPACITACAO E MONITORAMENTO DA JUVENTUDE RURAL (PROJETO AMANHA)";"0,00";"0,00";"0,00";
"01/2023";"2208 - TECNOLOGIAS APLICADAS, INOVACAO E DESENVOLVIMENTO SUSTENTAVEL";"2997 - FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE SAUDE (CT-SAUDE)";"0,00";"0,00";"0,00";
"01/2023";"2215 - POLITICA ECONOMICA E EQUILIBRIO FISCAL";"20VH - SUPERVISAO, REGULACAO E ORIENTACAO DOS MERCADOS DE SEGUROS, RESSEGUROS, CAPITALIZACAO E PREVIDENCIA COMPLEMENTAR ABERTA";"117.193,33";"968,34";"968,34";
"01/2023";"1041 - CONSERVACAO E USO SUSTENTAVEL DA BIODIVERSIDADE E DOS RECURSOS NATURAIS";"20WB - PESQUISA E INFORMACOES FLORESTAIS";"24.656,00";"7.061,01";"0,00";
